REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
Census Regions,Pacific,2015,49,400,3,12,1,1,0,4,0
Census Regions,New England,2015,50,36,2,1,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,50,101,4,15,0,1,1,2,0
Census Regions,East North Central,2015,50,166,15,4,0,0,0,1,0
Census Regions,West North Central,2015,50,247,5,2,0,0,0,1,0
Census Regions,South Atlantic,2015,50,294,6,0,0,1,0,0,0
Census Regions,East South Central,2015,50,79,2,0,0,3,0,0,0
Census Regions,West South Central,2015,50,62,0,1,0,0,1,0,0
Census Regions,Mountain,2015,50,147,28,7,0,1,0,6,0
Census Regions,Pacific,2015,50,343,7,9,0,4,2,9,0
Census Regions,New England,2015,51,43,2,3,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,51,96,13,11,1,0,2,0,0
Census Regions,East North Central,2015,51,139,8,0,0,0,0,1,0
Census Regions,West North Central,2015,51,224,8,1,0,0,0,0,0
Census Regions,South Atlantic,2015,51,215,10,3,0,0,0,1,0
Census Regions,East South Central,2015,51,54,1,0,0,5,0,0,0
Census Regions,West South Central,2015,51,33,1,2,0,1,0,1,0
Census Regions,Mountain,2015,51,146,34,6,0,0,0,17,0
Census Regions,Pacific,2015,51,295,12,7,0,6,1,8,0
Census Regions,New England,2015,52,32,1,1,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,52,99,18,5,0,0,1,2,0
Census Regions,East North Central,2015,52,169,12,0,0,0,0,3,0
Census Regions,West North Central,2015,52,229,8,2,0,0,1,0,0
Census Regions,South Atlantic,2015,52,286,5,4,0,2,0,1,0
Census Regions,East South Central,2015,52,54,0,0,0,0,0,0,0
Census Regions,West South Central,2015,52,34,2,0,0,0,0,1,0
Census Regions,Mountain,2015,52,173,75,9,0,1,2,13,0
Census Regions,Pacific,2015,52,409,25,35,1,10,5,15,0
Census Regions,New England,2016,1,60,3,3,0,1,0,1,0
Census Regions,Mid-Atlantic,2016,1,107,20,3,0,1,1,2,0
Census Regions,East North Central,2016,1,183,19,0,0,0,0,2,0
Census Regions,West North Central,2016,1,207,7,1,0,0,0,0,0
Census Regions,South Atlantic,2016,1,349,16,2,0,1,0,0,0
Census Regions,East South Central,2016,1,82,1,0,0,1,1,0,0
Census Regions,West South Central,2016,1,70,2,2,0,1,0,1,0
Census Regions,Mountain,2016,1,235,94,14,1,0,2,21,0
Census Regions,Pacific,2016,1,548,70,43,1,9,8,25,0
Census Regions,New England,2016,2,45,7,2,0,3,0,1,0
Census Regions,Mid-Atlantic,2016,2,121,32,5,0,2,5,2,0
Census Regions,East North Central,2016,2,178,20,3,0,0,0,1,0
Census Regions,West North Central,2016,2,172,13,2,1,0,0,3,0
Census Regions,South Atlantic,2016,2,306,19,12,1,13,0,0,0
Census Regions,East South Central,2016,2,78,2,2,0,0,0,0,0
Census Regions,West South Central,2016,2,70,6,3,0,2,0,1,0
Census Regions,Mountain,2016,2,203,89,15,1,3,4,22,0
Census Regions,Pacific,2016,2,575,68,45,2,24,14,30,0
Census Regions,New England,2016,3,63,13,2,0,2,1,0,0
Census Regions,Mid-Atlantic,2016,3,135,34,4,0,1,1,1,0
Census Regions,East North Central,2016,3,272,51,12,2,0,1,4,0
Census Regions,West North Central,2016,3,205,19,4,2,2,2,2,0
Census Regions,South Atlantic,2016,3,268,36,7,1,9,4,0,0
Census Regions,East South Central,2016,3,48,0,3,0,1,0,0,0
Census Regions,West South Central,2016,3,72,8,6,0,1,0,1,0
Census Regions,Mountain,2016,3,271,121,17,2,1,3,33,0
Census Regions,Pacific,2016,3,612,79,45,6,28,13,42,0
Census Regions,New England,2016,4,88,20,1,0,5,0,0,0
Census Regions,Mid-Atlantic,2016,4,159,29,7,4,6,2,7,0
Census Regions,East North Central,2016,4,356,82,28,6,0,1,5,0
Census Regions,West North Central,2016,4,219,51,2,1,0,0,2,0
Census Regions,South Atlantic,2016,4,389,54,12,1,15,0,3,0
Census Regions,East South Central,2016,4,66,2,4,0,2,1,0,0
Census Regions,West South Central,2016,4,123,8,8,0,0,2,1,0
Census Regions,Mountain,2016,4,398,151,53,0,5,7,54,0
Census Regions,Pacific,2016,4,770,129,45,3,64,15,32,0
Census Regions,New England,2016,5,129,50,5,0,5,3,1,0
Census Regions,Mid-Atlantic,2016,5,199,43,9,3,2,7,4,0
Census Regions,East North Central,2016,5,340,88,14,0,0,3,2,0
Census Regions,West North Central,2016,5,273,79,1,3,0,2,5,0
Census Regions,South Atlantic,2016,5,406,70,15,3,15,6,2,0
Census Regions,East South Central,2016,5,74,6,3,0,7,0,1,0
Census Regions,West South Central,2016,5,123,10,11,0,1,3,6,0
