REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
Census Regions,Mid-Atlantic,2016,34,32,0,6,0,0,1,6,0
Census Regions,East North Central,2016,34,41,0,4,0,0,1,0,0
Census Regions,West North Central,2016,34,31,0,0,0,0,0,0,0
Census Regions,South Atlantic,2016,34,62,2,3,0,2,0,0,0
Census Regions,East South Central,2016,34,13,0,5,0,0,0,0,0
Census Regions,West South Central,2016,34,23,0,2,0,0,0,0,0
Census Regions,Mountain,2016,34,17,1,1,0,0,0,0,0
Census Regions,Pacific,2016,34,144,2,7,0,0,0,0,0
Census Regions,New England,2016,35,12,1,2,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,35,35,0,3,0,0,2,1,0
Census Regions,East North Central,2016,35,33,0,4,0,0,1,0,0
Census Regions,West North Central,2016,35,37,0,3,0,0,0,0,0
Census Regions,South Atlantic,2016,35,85,4,3,0,5,0,0,0
Census Regions,East South Central,2016,35,7,0,0,0,0,0,0,0
Census Regions,West South Central,2016,35,18,0,6,0,0,1,0,0
Census Regions,Mountain,2016,35,23,0,1,0,0,0,0,0
Census Regions,Pacific,2016,35,158,2,11,0,0,0,1,0
Census Regions,New England,2016,36,9,0,4,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,36,36,0,1,0,0,0,1,0
Census Regions,East North Central,2016,36,44,1,3,0,0,0,0,0
Census Regions,West North Central,2016,36,40,0,3,0,0,0,0,0
Census Regions,South Atlantic,2016,36,60,1,8,0,6,1,0,0
Census Regions,East South Central,2016,36,6,0,0,0,0,0,0,0
Census Regions,West South Central,2016,36,17,0,5,0,0,0,0,0
Census Regions,Mountain,2016,36,16,0,3,0,0,0,0,0
Census Regions,Pacific,2016,36,172,1,18,0,0,0,2,0
Census Regions,New England,2016,37,21,0,12,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,37,39,0,7,0,0,0,3,0
Census Regions,East North Central,2016,37,76,1,5,0,0,0,0,0
Census Regions,West North Central,2016,37,44,0,2,0,0,1,0,0
Census Regions,South Atlantic,2016,37,101,2,6,1,10,0,0,0
Census Regions,East South Central,2016,37,17,0,0,0,0,0,0,0
Census Regions,West South Central,2016,37,24,0,3,0,0,0,0,0
Census Regions,Mountain,2016,37,32,0,1,0,0,1,1,0
Census Regions,Pacific,2016,37,199,5,19,1,0,2,2,0
Census Regions,New England,2016,38,15,0,5,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,38,53,0,11,0,1,2,2,0
Census Regions,East North Central,2016,38,76,2,5,0,0,0,0,0
Census Regions,West North Central,2016,38,75,0,1,0,0,1,0,0
Census Regions,South Atlantic,2016,38,106,2,16,0,6,0,0,0
Census Regions,East South Central,2016,38,2,0,0,0,0,0,0,0
Census Regions,West South Central,2016,38,28,0,1,0,0,0,0,0
Census Regions,Mountain,2016,38,26,0,5,0,0,0,0,0
Census Regions,Pacific,2016,38,241,2,33,0,1,0,3,0
Census Regions,New England,2016,39,18,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,39,51,0,6,0,1,7,0,0
Census Regions,East North Central,2016,39,102,0,5,1,0,1,0,0
Census Regions,West North Central,2016,39,68,0,5,0,0,2,0,0
Census Regions,South Atlantic,2016,39,128,2,10,0,3,0,0,0
Census Regions,East South Central,2016,39,13,0,1,0,0,0,0,0
Census Regions,West South Central,2016,39,28,0,0,0,0,0,0,0
Census Regions,Mountain,2016,39,47,1,4,0,0,1,0,0
Census Regions,Pacific,2016,39,241,2,42,0,1,0,0,0
Census Regions,New England,2016,40,31,0,6,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,40,50,0,8,0,0,2,0,0
Census Regions,East North Central,2016,40,139,0,4,0,0,0,1,0
Census Regions,West North Central,2016,40,104,0,6,0,0,1,0,0
Census Regions,South Atlantic,2016,40,181,3,11,0,1,2,0,0
Census Regions,East South Central,2016,40,24,0,0,0,0,0,0,0
Census Regions,West South Central,2016,40,26,0,0,0,0,0,0,0
Census Regions,Mountain,2016,40,54,3,10,0,0,0,1,0
Census Regions,Pacific,2016,40,290,3,41,0,0,0,2,0
Census Regions,New England,2016,41,14,0,2,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,41,62,0,8,0,1,5,2,0
Census Regions,East North Central,2016,41,156,0,6,0,0,0,0,0
Census Regions,West North Central,2016,41,86,0,3,0,0,0,0,0
Census Regions,South Atlantic,2016,41,201,0,10,0,1,0,1,0
Census Regions,East South Central,2016,41,45,0,0,0,0,0,0,0
Census Regions,West South Central,2016,41,24,0,0,0,0,0,0,0
Census Regions,Mountain,2016,41,67,7,8,0,0,0,0,0
Census Regions,Pacific,2016,41,313,3,44,0,1,1,3,0
Census Regions,New England,2016,42,25,0,3,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,42,83,0,18,0,1,1,2,0
Census Regions,East North Central,2016,42,157,0,12,0,0,2,1,0
Census Regions,West North Central,2016,42,103,0,5,0,0,0,0,0
Census Regions,South Atlantic,2016,42,255,1,7,2,0,0,1,0
Census Regions,East South Central,2016,42,41,0,2,0,0,0,0,0
Census Regions,West South Central,2016,42,48,1,4,0,0,2,1,0
Census Regions,Mountain,2016,42,99,6,17,0,0,0,2,0
Census Regions,Pacific,2016,42,322,4,59,0,0,3,2,0
Census Regions,New England,2016,43,30,0,5,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,43,79,1,24,0,0,1,0,0
Census Regions,East North Central,2016,43,164,1,5,0,0,1,0,0
Census Regions,West North Central,2016,43,111,3,6,0,0,0,0,0
Census Regions,South Atlantic,2016,43,274,0,14,0,5,0,0,0
Census Regions,East South Central,2016,43,40,0,2,0,0,0,0,0
Census Regions,West South Central,2016,43,53,1,1,0,0,0,0,0
Census Regions,Mountain,2016,43,102,6,23,0,0,0,2,0
Census Regions,Pacific,2016,43,314,1,49,1,1,1,1,0
Census Regions,New England,2016,44,34,0,8,0,0,1,0,0
Census Regions,Mid-Atlantic,2016,44,107,0,9,0,0,5,0,0
Census Regions,East North Central,2016,44,169,1,8,0,0,1,0,0
Census Regions,West North Central,2016,44,129,0,6,1,0,1,0,0
Census Regions,South Atlantic,2016,44,281,1,11,0,3,0,1,0
Census Regions,East South Central,2016,44,60,0,1,0,0,1,0,0
Census Regions,West South Central,2016,44,61,2,2,0,0,1,0,0
Census Regions,Mountain,2016,44,106,5,18,1,0,0,2,0
Census Regions,Pacific,2016,44,354,3,59,1,0,0,4,0
Census Regions,New England,2016,45,23,0,1,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,45,84,1,15,0,1,1,0,0
Census Regions,East North Central,2016,45,163,0,6,0,0,0,0,0
Census Regions,West North Central,2016,45,99,0,2,0,0,1,0,0
Census Regions,South Atlantic,2016,45,335,1,11,0,5,0,0,0
Census Regions,East South Central,2016,45,57,0,1,0,0,0,0,0
Census Regions,West South Central,2016,45,60,1,2,0,0,2,0,0
Census Regions,Mountain,2016,45,101,2,27,0,0,0,0,0
Census Regions,Pacific,2016,45,349,0,86,1,0,1,1,0
Census Regions,New England,2016,46,37,0,8,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,46,84,0,18,1,7,0,0,0
Census Regions,East North Central,2016,46,196,0,24,0,0,1,1,0
Census Regions,West North Central,2016,46,100,0,6,1,0,0,0,0
Census Regions,South Atlantic,2016,46,301,1,13,0,6,0,0,0
Census Regions,East South Central,2016,46,79,1,3,0,0,0,0,0
Census Regions,West South Central,2016,46,70,3,3,0,0,0,0,0
Census Regions,Mountain,2016,46,115,3,27,0,0,0,0,0
Census Regions,Pacific,2016,46,368,1,85,0,0,6,0,0
Census Regions,New England,2016,47,18,0,1,0,0,0,1,0
Census Regions,Mid-Atlantic,2016,47,74,0,15,5,5,1,0,0
Census Regions,East North Central,2016,47,116,0,10,1,0,0,0,0
Census Regions,West North Central,2016,47,99,0,6,1,0,1,0,0
Census Regions,South Atlantic,2016,47,284,2,21,1,5,0,0,0
Census Regions,East South Central,2016,47,41,0,3,0,0,0,0,0
Census Regions,West South Central,2016,47,32,0,3,0,0,0,1,0
Census Regions,Mountain,2016,47,130,3,45,0,0,0,0,0
Census Regions,Pacific,2016,47,300,0,55,7,0,2,1,0
Census Regions,New England,2016,48,29,0,16,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,48,125,0,26,5,4,2,0,0
Census Regions,East North Central,2016,48,206,1,18,1,0,5,1,0
Census Regions,West North Central,2016,48,159,0,17,1,0,4,0,0
Census Regions,South Atlantic,2016,48,385,2,57,1,11,0,4,0
Census Regions,East South Central,2016,48,83,0,7,0,0,0,0,0
Census Regions,West South Central,2016,48,68,0,4,0,1,0,0,0
Census Regions,Mountain,2016,48,181,5,57,1,0,1,0,0
Census Regions,Pacific,2016,48,469,5,108,3,1,5,0,0
Census Regions,New England,2016,49,53,0,24,0,0,0,1,0
Census Regions,Mid-Atlantic,2016,49,165,0,68,0,1,2,1,0
Census Regions,East North Central,2016,49,255,1,35,0,0,6,1,0
Census Regions,West North Central,2016,49,170,1,25,0,3,1,0,0
Census Regions,South Atlantic,2016,49,404,5,75,0,2,2,2,0
Census Regions,East South Central,2016,49,70,0,8,0,0,0,1,0
Census Regions,West South Central,2016,49,70,1,15,0,0,0,0,0
Census Regions,Mountain,2016,49,224,2,111,1,0,0,0,0
Census Regions,Pacific,2016,49,451,4,106,2,0,6,1,0
Census Regions,New England,2016,50,52,5,24,0,0,0,1,0
Census Regions,Mid-Atlantic,2016,50,184,1,104,0,2,5,2,0
Census Regions,East North Central,2016,50,292,3,71,0,3,6,1,0
Census Regions,West North Central,2016,50,200,3,46,1,1,2,4,0
Census Regions,South Atlantic,2016,50,444,0,89,2,9,3,1,0
Census Regions,East South Central,2016,50,89,1,9,0,0,1,2,0
Census Regions,West South Central,2016,50,88,2,16,0,2,4,1,0
Census Regions,Mountain,2016,50,316,1,189,0,0,0,3,0
Census Regions,Pacific,2016,50,564,2,186,6,1,5,1,0
Census Regions,New England,2016,51,72,7,44,0,3,1,0,0
Census Regions,Mid-Atlantic,2016,51,142,1,71,1,2,4,3,0
Census Regions,East North Central,2016,51,353,4,117,0,3,13,8,0
Census Regions,West North Central,2016,51,232,2,67,4,2,2,5,0
Census Regions,South Atlantic,2016,51,491,5,149,1,5,10,3,0
Census Regions,East South Central,2016,51,123,0,21,0,1,1,4,0
Census Regions,West South Central,2016,51,69,1,23,0,0,1,1,0
Census Regions,Mountain,2016,51,355,3,238,1,0,4,3,0
Census Regions,Pacific,2016,51,631,5,256,4,1,1,0,0
Census Regions,New England,2016,52,111,3,85,0,0,3,3,0
Census Regions,Mid-Atlantic,2016,52,173,0,86,7,1,4,4,0
Census Regions,East North Central,2016,52,341,2,122,0,0,23,5,0
Census Regions,West North Central,2016,52,333,0,139,5,2,6,6,0
Census Regions,South Atlantic,2016,52,582,2,243,1,9,10,7,0
Census Regions,East South Central,2016,52,114,3,32,0,0,2,1,0
Census Regions,West South Central,2016,52,67,3,27,0,3,1,0,0
Census Regions,Mountain,2016,52,474,4,351,3,0,1,7,0
Census Regions,Pacific,2016,52,1005,12,512,15,2,7,2,0
Census Regions,New England,2017,1,158,4,115,0,2,1,4,0
Census Regions,Mid-Atlantic,2017,1,206,0,103,2,3,0,5,0
Census Regions,East North Central,2017,1,308,7,122,1,0,21,9,0
Census Regions,West North Central,2017,1,365,3,138,0,0,7,6,0
Census Regions,South Atlantic,2017,1,771,8,316,2,9,11,19,0
Census Regions,East South Central,2017,1,103,2,23,0,2,0,0,0
Census Regions,West South Central,2017,1,90,6,25,0,2,0,4,0
Census Regions,Mountain,2017,1,530,2,388,0,0,4,5,0
Census Regions,Pacific,2017,1,1238,9,700,9,5,3,2,0
Census Regions,New England,2017,2,184,1,130,0,1,5,5,0
Census Regions,Mid-Atlantic,2017,2,231,1,120,3,0,3,2,0
Census Regions,East North Central,2017,2,368,7,150,0,2,16,9,0
Census Regions,West North Central,2017,2,555,3,268,5,1,14,17,0
Census Regions,South Atlantic,2017,2,717,5,326,0,10,6,13,0
Census Regions,East South Central,2017,2,158,4,61,3,3,0,2,0
Census Regions,West South Central,2017,2,143,2,58,0,9,1,6,0
Census Regions,Mountain,2017,2,493,10,328,1,0,1,9,0
Census Regions,Pacific,2017,2,1346,12,650,17,8,2,2,0
Census Regions,New England,2017,3,237,1,175,0,1,3,13,0
Census Regions,Mid-Atlantic,2017,3,254,0,134,1,5,2,3,0
Census Regions,East North Central,2017,3,431,5,234,2,3,12,20,0
Census Regions,West North Central,2017,3,537,7,258,4,2,21,18,0
Census Regions,South Atlantic,2017,3,827,10,413,3,13,15,22,0
Census Regions,East South Central,2017,3,176,3,64,0,4,4,3,0
Census Regions,West South Central,2017,3,140,8,73,0,7,0,3,0
Census Regions,Mountain,2017,3,432,10,301,0,0,2,2,0
Census Regions,Pacific,2017,3,1128,9,515,17,6,1,6,0
Census Regions,New England,2017,4,251,0,199,0,0,4,5,0
Census Regions,Mid-Atlantic,2017,4,280,0,151,1,2,5,5,0
Census Regions,East North Central,2017,4,534,5,255,1,1,20,19,0
Census Regions,West North Central,2017,4,571,6,300,5,4,11,25,0
Census Regions,South Atlantic,2017,4,872,8,429,2,20,19,21,0
Census Regions,East South Central,2017,4,157,4,54,2,1,1,0,0
Census Regions,West South Central,2017,4,206,5,97,0,3,2,16,0
Census Regions,Mountain,2017,4,483,2,328,3,3,1,10,0
Census Regions,Pacific,2017,4,1063,14,511,16,10,0,3,0
Census Regions,New England,2017,5,278,2,211,0,8,3,11,0
Census Regions,Mid-Atlantic,2017,5,277,0,149,2,11,7,5,0
Census Regions,East North Central,2017,5,587,6,312,0,2,21,20,0
Census Regions,West North Central,2017,5,690,5,329,9,1,18,65,0
Census Regions,South Atlantic,2017,5,898,10,443,6,14,30,31,0
Census Regions,East South Central,2017,5,211,2,77,0,4,3,5,0
Census Regions,West South Central,2017,5,264,3,116,2,4,2,12,0
Census Regions,Mountain,2017,5,680,4,427,1,2,6,15,0
Census Regions,Pacific,2017,5,946,15,359,12,10,0,6,0
Census Regions,New England,2017,6,314,0,243,0,11,2,6,0
Census Regions,Mid-Atlantic,2017,6,296,0,176,2,11,3,2,0
Census Regions,East North Central,2017,6,718,14,390,1,9,42,49,0
Census Regions,West North Central,2017,6,700,12,343,12,1,17,65,0
Census Regions,South Atlantic,2017,6,1055,10,561,0,12,33,41,0
Census Regions,East South Central,2017,6,221,5,100,5,6,0,1,0
Census Regions,West South Central,2017,6,238,4,112,0,3,2,8,0
Census Regions,Mountain,2017,6,570,4,354,0,1,4,19,0
Census Regions,Pacific,2017,6,694,11,323,6,10,0,2,0
Census Regions,New England,2017,7,196,2,114,0,23,0,4,0
Census Regions,Mid-Atlantic,2017,7,282,0,165,1,14,2,3,0
Census Regions,East North Central,2017,7,578,4,267,1,9,19,28,0
Census Regions,West North Central,2017,7,729,12,339,18,3,17,84,0
Census Regions,South Atlantic,2017,7,918,6,457,3,36,17,42,0
Census Regions,East South Central,2017,7,142,2,89,0,13,5,1,0
Census Regions,West South Central,2017,7,213,2,76,1,13,2,6,0
Census Regions,Mountain,2017,7,363,0,199,0,1,5,17,0
Census Regions,Pacific,2017,7,375,13,120,4,7,0,0,0
Census Regions,New England,2017,8,153,2,69,0,11,0,9,0
Census Regions,Mid-Atlantic,2017,8,110,0,65,0,4,1,0,0
Census Regions,East North Central,2017,8,322,2,143,8,16,6,7,0
Census Regions,West North Central,2017,8,357,1,143,29,8,11,42,0
Census Regions,South Atlantic,2017,8,377,9,161,12,26,4,11,0
Census Regions,East South Central,2017,8,67,0,28,0,0,3,3,0
Census Regions,West South Central,2017,8,98,2,30,0,5,0,6,0
Census Regions,Mountain,2017,8,205,4,97,0,2,2,4,0
Census Regions,Pacific,2017,8,235,6,68,5,5,0,0,0
