REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,West South Central,2015,46,3.3343,2.76897,618,573,X,896,251,143,2481,240,89600
Census Regions,Mountain,2015,46,1.09263,1.25683,256,221,X,382,102,131,1092,199,86885
Census Regions,Pacific,2015,46,1.80333,1.86391,317,160,X,519,70,59,1125,252,60357
Census Regions,New England,2015,47,0.954736,0.789195,77,39,X,107,13,17,253,134,32058
Census Regions,Mid-Atlantic,2015,47,1.49939,1.81039,943,298,X,678,128,96,2143,245,118372
Census Regions,East North Central,2015,47,1.36867,1.50413,375,244,X,405,128,66,1218,272,80977
Census Regions,West North Central,2015,47,1.43808,1.4901,107,81,X,154,32,19,393,134,26374
Census Regions,South Atlantic,2015,47,1.75636,1.9129,895,624,X,1041,210,143,2913,375,152282
Census Regions,East South Central,2015,47,2.01389,1.93966,376,213,X,310,86,59,1044,163,53824
Census Regions,West South Central,2015,47,4.11913,3.20556,656,582,X,717,245,139,2339,244,72967
Census Regions,Mountain,2015,47,1.37167,1.62231,307,201,X,362,91,107,1068,201,65832
Census Regions,Pacific,2015,47,2.03581,2.15316,236,145,X,292,48,57,778,239,36133
Census Regions,New England,2015,48,0.807851,0.772896,117,54,X,183,33,12,399,148,51624
Census Regions,Mid-Atlantic,2015,48,1.5694,1.94062,1235,378,X,947,154,96,2810,254,144799
Census Regions,East North Central,2015,48,1.16681,1.36375,454,276,X,545,138,85,1498,276,109844
Census Regions,West North Central,2015,48,0.933792,1.05178,106,75,X,146,31,20,378,135,35939
Census Regions,South Atlantic,2015,48,1.4896,1.71762,970,841,X,1144,286,152,3393,384,197541
Census Regions,East South Central,2015,48,1.63505,1.76862,353,290,X,409,105,64,1221,165,69037
Census Regions,West South Central,2015,48,3.76529,3.04153,689,671,X,860,277,170,2667,245,87686
Census Regions,Mountain,2015,48,1.25351,1.36514,246,251,X,370,135,163,1165,202,85339
Census Regions,Pacific,2015,48,1.7571,1.83583,297,173,X,472,73,67,1082,239,58938
Census Regions,New England,2015,49,0.975831,0.837658,115,63,X,210,22,21,431,150,51453
Census Regions,Mid-Atlantic,2015,49,1.88255,2.16968,1394,380,X,1077,164,103,3118,249,143708
Census Regions,East North Central,2015,49,1.32677,1.50477,469,268,X,607,168,113,1625,278,107990
Census Regions,West North Central,2015,49,1.12354,1.17824,117,85,X,180,21,28,431,138,36580
Census Regions,South Atlantic,2015,49,1.43578,1.80391,952,814,X,1237,251,176,3430,376,190142
Census Regions,East South Central,2015,49,1.84601,1.82578,346,269,X,448,120,62,1245,160,68190
Census Regions,West South Central,2015,49,3.78329,2.89168,663,632,X,740,284,147,2466,234,85279
Census Regions,Mountain,2015,49,1.37548,1.47259,253,246,X,420,143,147,1209,200,82100
Census Regions,Pacific,2015,49,1.73522,1.79751,277,145,X,460,79,76,1037,243,57691
Census Regions,New England,2015,50,1.03668,0.838048,119,61,X,173,24,20,397,142,47372
Census Regions,Mid-Atlantic,2015,50,1.85814,2.27848,1474,420,X,1001,178,134,3207,254,140752
Census Regions,East North Central,2015,50,1.43391,1.57065,470,291,X,545,150,88,1544,273,98303
Census Regions,West North Central,2015,50,1.27951,1.31614,135,83,X,181,27,25,451,139,34267
Census Regions,South Atlantic,2015,50,1.65143,2.09946,1176,854,X,1414,309,221,3974,378,189287
Census Regions,East South Central,2015,50,1.8839,1.81713,381,203,X,410,101,67,1162,164,63947
Census Regions,West South Central,2015,50,3.85443,3.04314,729,665,X,679,262,172,2507,233,82382
Census Regions,Mountain,2015,50,1.43281,1.61425,324,234,X,359,142,157,1216,192,75329
Census Regions,Pacific,2015,50,1.81511,1.88929,329,152,X,343,59,59,942,233,49860
Census Regions,New England,2015,51,1.38302,1.10902,117,42,X,120,20,19,318,134,28674
Census Regions,Mid-Atlantic,2015,51,2.40092,2.7465,1573,384,X,872,147,156,3132,252,114036
Census Regions,East North Central,2015,51,1.7024,1.96847,532,236,X,385,151,112,1416,268,71934
Census Regions,West North Central,2015,51,1.77205,1.70346,138,81,X,141,28,21,409,137,24010
Census Regions,South Atlantic,2015,51,2.1535,2.5661,1321,900,X,1307,347,213,4088,364,159308
Census Regions,East South Central,2015,51,2.01954,2.08233,352,215,X,302,100,69,1038,164,49848
Census Regions,West South Central,2015,51,4.38855,3.40188,741,652,X,634,252,186,2465,241,72460
Census Regions,Mountain,2015,51,1.73629,1.92339,304,250,X,312,138,162,1166,199,60622
Census Regions,Pacific,2015,51,2.37442,2.51915,288,114,X,234,69,68,773,228,30685
Census Regions,New England,2015,52,1.59869,1.27352,122,55,X,128,27,20,352,133,27640
Census Regions,Mid-Atlantic,2015,52,2.47058,2.94697,1812,475,X,868,185,177,3517,249,119343
Census Regions,East North Central,2015,52,1.70704,1.89523,523,267,X,348,153,124,1415,268,74661
Census Regions,West North Central,2015,52,1.63038,1.55727,106,88,X,113,34,36,377,136,24209
Census Regions,South Atlantic,2015,52,2.11728,2.38551,1396,967,X,1141,436,287,4227,365,177195
Census Regions,East South Central,2015,52,1.81539,1.88317,347,207,X,281,100,85,1020,159,54164
Census Regions,West South Central,2015,52,4.78303,3.44868,741,766,X,562,356,218,2643,236,76638
Census Regions,Mountain,2015,52,1.821,1.95459,336,303,X,294,150,160,1243,190,63594
Census Regions,Pacific,2015,52,2.67156,2.75749,314,135,X,272,80,71,872,223,31623
Census Regions,New England,2016,1,1.32779,1.04943,141,95,X,154,40,25,455,138,43357
Census Regions,Mid-Atlantic,2016,1,1.93233,2.36839,1345,527,X,863,262,168,3165,249,133635
Census Regions,East North Central,2016,1,1.49749,1.71024,556,335,X,495,191,131,1708,273,99869
Census Regions,West North Central,2016,1,1.17181,1.29538,115,106,X,127,41,31,420,132,32423
Census Regions,South Atlantic,2016,1,1.57941,1.94495,994,1022,X,1122,378,231,3747,381,192653
Census Regions,East South Central,2016,1,1.75415,1.69308,371,232,X,324,99,68,1094,165,64616
Census Regions,West South Central,2016,1,3.88908,3.03166,586,720,X,597,334,200,2437,234,80385
Census Regions,Mountain,2016,1,1.68892,1.73719,311,351,X,392,176,202,1432,198,82432
Census Regions,Pacific,2016,1,2.08324,2.16742,356,206,X,416,110,102,1190,241,54904
Census Regions,New England,2016,2,1.40757,1.12967,155,86,X,196,29,25,491,137,43464
Census Regions,Mid-Atlantic,2016,2,2.32474,2.31456,1168,532,X,1002,228,171,3101,257,133978
Census Regions,East North Central,2016,2,1.44807,1.7464,535,302,X,570,150,104,1661,268,95110
Census Regions,West North Central,2016,2,1.0072,1.17495,120,79,X,126,39,26,390,136,33193
Census Regions,South Atlantic,2016,2,1.66554,1.90413,899,868,X,1281,333,213,3594,379,188748
Census Regions,East South Central,2016,2,1.89655,1.70562,347,223,X,395,105,72,1142,169,66955
Census Regions,West South Central,2016,2,3.62506,3.02647,692,572,X,747,241,142,2394,238,79102
Census Regions,Mountain,2016,2,1.68321,1.85882,321,339,X,510,169,188,1527,194,82149
Census Regions,Pacific,2016,2,2.12884,2.18236,332,178,X,533,84,80,1207,234,55307
Census Regions,New England,2016,3,1.51447,1.23407,184,75,X,193,30,34,516,139,41813
Census Regions,Mid-Atlantic,2016,3,2.20663,2.36494,1140,551,X,953,233,143,3020,260,127699
Census Regions,East North Central,2016,3,1.52123,1.75846,571,342,X,594,159,114,1780,275,101225
Census Regions,West North Central,2016,3,0.958569,1.22306,143,67,X,162,19,21,412,137,33686
Census Regions,South Atlantic,2016,3,1.84777,1.93919,820,793,X,1148,284,161,3206,380,165327
