Week Ending Date,Year,Week,AntigenDetection,VirusIsolation,PCR
8/8/2015,2015,32,1.2,0.6,1
8/15/2015,2015,33,0.7,1.1,1.5
8/22/2015,2015,34,0.2,0.2,1.3
8/29/2015,2015,35,0.2,0,1.4
9/5/2015,2015,36,0.5,0.4,2.1
9/12/2015,2015,37,1.2,0.4,2.4
9/19/2015,2015,38,0.5,0.9,2.4
9/26/2015,2015,39,1,1.8,3.4
10/3/2015,2015,40,0.5,1.5,4
10/10/2015,2015,41,0.6,1.7,4.4
10/17/2015,2015,42,1.6,2.6,5.2
10/24/2015,2015,43,2.1,2,5.3
10/31/2015,2015,44,1.6,1.9,5
11/7/2015,2015,45,1,2,5.2
11/14/2015,2015,46,1.8,2,5.2
11/21/2015,2015,47,1.9,2.2,5.1
11/28/2015,2015,48,1.9,3.1,4.7
12/5/2015,2015,49,2,1.5,3.9
12/12/2015,2015,50,1.3,1.2,3.7
12/19/2015,2015,51,1.2,3,2.9
12/26/2015,2015,52,2.3,1.3,2.4
1/2/2016,2016,1,0.7,1.8,2.2
1/9/2016,2016,2,0.9,1.2,1.6
1/16/2016,2016,3,1.1,1.5,1.5
1/23/2016,2016,4,0.6,0.4,1.1
1/30/2016,2016,5,0.2,0.3,0.8
2/6/2016,2016,6,0.2,0.4,0.6
2/13/2016,2016,7,0.2,0.1,0.5
2/20/2016,2016,8,0.6,0,0.5
2/27/2016,2016,9,0.2,0.4,0.4
3/5/2016,2016,10,0.2,0,0.3
3/12/2016,2016,11,0.4,0.1,0.4
3/19/2016,2016,12,0.1,0,0.3
3/26/2016,2016,13,0.1,0.6,0.3
4/2/2016,2016,14,0,0.3,0.3
4/9/2016,2016,15,0,0.5,0.2
4/16/2016,2016,16,0.3,0.1,0.2
4/23/2016,2016,17,0.2,0.2,0.2
4/30/2016,2016,18,0.1,0.2,0.2
5/7/2016,2016,19,0,0.2,0.3
5/14/2016,2016,20,0.5,0,0.1
5/21/2016,2016,21,0.1,0,0.2
5/28/2016,2016,22,0,0,0.2
6/4/2016,2016,23,0.2,0.2,0.2
6/11/2016,2016,24,0,0,0.1
6/18/2016,2016,25,0,0,0.3
6/25/2016,2016,26,0,0,0.1
7/2/2016,2016,27,0,0,0.2
7/9/2016,2016,28,0,0,0.2
7/16/2016,2016,29,0,0,0.2
7/23/2016,2016,30,0,0,0.2
7/30/2016,2016,31,0,0,0.3
8/6/2016,2016,32,0.3,0,0.3
8/13/2016,2016,33,0.3,0,0.2
8/20/2016,2016,34,0,0,0.2
