Week Ending Date,Year,Week,AntigenDetection,VirusIsolation,PCR
8/8/2015,2015,32,0.2,0,0.9
8/15/2015,2015,33,0.7,0,0.9
8/22/2015,2015,34,0,0.2,1
8/29/2015,2015,35,0,0.2,0.6
9/5/2015,2015,36,0.4,0,0.4
9/12/2015,2015,37,0.2,0.2,0.6
9/19/2015,2015,38,0,0,0.3
9/26/2015,2015,39,0.3,0,0.3
10/3/2015,2015,40,0.6,0,0.5
10/10/2015,2015,41,0.1,0.2,0.4
10/17/2015,2015,42,0.1,0.3,0.2
10/24/2015,2015,43,0.1,0,0.4
10/31/2015,2015,44,0,0.1,0.3
11/7/2015,2015,45,0.4,0,0.3
11/14/2015,2015,46,0.3,0.1,0.2
11/21/2015,2015,47,0,0.1,0.1
11/28/2015,2015,48,0.2,0,0.2
12/5/2015,2015,49,0.1,0,0.3
12/12/2015,2015,50,0,0,0.2
12/19/2015,2015,51,0.1,0.1,0.2
12/26/2015,2015,52,0.1,0,0.2
1/2/2016,2016,1,0.1,0,0.2
1/9/2016,2016,2,0.1,0,0.2
1/16/2016,2016,3,0,0,0.1
1/23/2016,2016,4,0.2,0,0.2
1/30/2016,2016,5,0.2,0.3,0.1
2/6/2016,2016,6,0.3,0.1,0.2
2/13/2016,2016,7,0.2,0.4,0.2
2/20/2016,2016,8,0.1,0,0.2
2/27/2016,2016,9,0.2,0.1,0.2
3/5/2016,2016,10,0.3,0.1,0.1
3/12/2016,2016,11,0.3,0.1,0.3
3/19/2016,2016,12,0.1,0,0.5
3/26/2016,2016,13,0.2,0.6,0.5
4/2/2016,2016,14,0.4,0.3,0.8
4/9/2016,2016,15,0.4,0.3,0.8
4/16/2016,2016,16,0.8,0.3,1.8
4/23/2016,2016,17,0.9,0.5,1.8
4/30/2016,2016,18,1.8,1.1,2.5
5/7/2016,2016,19,2.6,1.1,3.2
5/14/2016,2016,20,2.2,0.6,4.2
5/21/2016,2016,21,3.4,1.8,5.1
5/28/2016,2016,22,3.4,2,6.5
6/4/2016,2016,23,3.9,1.2,7.3
6/11/2016,2016,24,4.9,4.1,8.1
6/18/2016,2016,25,4.2,3.4,9
6/25/2016,2016,26,3.8,3.4,8.8
7/2/2016,2016,27,3.6,1.2,8.4
7/9/2016,2016,28,2.1,2.2,7.5
7/16/2016,2016,29,2.7,1.5,6.6
7/23/2016,2016,30,2,3.2,6.2
7/30/2016,2016,31,2.8,2.4,4.9
8/6/2016,2016,32,2.9,0.7,4
8/13/2016,2016,33,2.2,0,3.7
8/20/2016,2016,34,1.2,0,2.9
